e1098-il,3.7,54.5,18.9,36.6
e1200-il,3.5,50.2,16.9,36.1
e1210-il,5.2,33.3,15.9,21.1
e1211-il,4.4,37.7,18.0,20.9
e1212-il,3.2,36.4,17.7,23.4
e1212mod-il,2.6,35.1,17.7,20.1
e1213-il,2.1,35.1,17.4,22.1
e1214-il,2.1,30.4,19.8,26.2
e1230-il,3.6,25.6,17.4,30.9
e1233-il,4.4,29.8,18.9,29.8
e168-il,0.0,0.0,12.4,26.7
e169-il,0.0,0.0,14.4,26.5
e171-il,0.0,0.0,12.3,32.4
e174-il,3.3,44.9,8.9,31.2
e176-il,2.9,44.2,8.8,30.5
e178-il,2.8,38.8,8.7,29.8
e180-il,2.0,38.1,8.6,33.5
e182-il,1.2,37.5,8.5,32.4
e184-il,0.8,38.3,8.3,33.3
e186-il,0.8,29.0,10.2,29.0
e193-il,3.0,44.7,10.2,31.0
e195-il,2.7,44.2,11.8,35.0
e197-il,2.8,43.7,13.5,34.6
e201-il,2.6,49.4,11.9,30.8
e203-il,2.3,54.1,13.6,30.7
e205-il,2.5,38.7,10.5,29.7
e207-il,2.5,38.6,12.0,29.6
e209-il,1.6,48.1,13.7,33.8
e210-il,3.7,50.7,13.6,32.1
e211-il,2.2,65.7,10.9,31.7
e212-il,2.5,61.3,10.6,27.5
e214-il,3.7,56.9,11.1,33.1
e216-il,4.7,59.0,10.4,26.2
e220-il,2.2,37.7,11.5,33.1
e221-il,1.6,32.6,9.4,28.1
e222-il,2.1,55.3,10.2,31.1
e224-il,1.5,54.2,10.2,29.8
e226-il,0.5,56.9,10.2,31.3
e228-il,0.3,31.9,10.1,31.9
e230-il,0.0,0.0,10.0,29.3
e231-il,2.5,39.4,12.3,39.4
e266-il,3.1,39.8,17.3,39.8
e297-il,0.0,0.0,11.4,37.7
e325-il,1.8,16.3,12.6,34.3
e326-il,2.1,19.5,12.9,33.4
e327-il,2.6,23.0,13.1,32.4
e328-il,3.0,22.1,13.3,31.5
e329-il,3.5,25.7,13.5,30.6
e330-il,2.1,16.9,11.0,29.2
e331-il,2.7,23.6,11.2,28.3
e332-il,3.1,22.6,11.5,32.3
e333-il,3.5,26.4,11.7,31.3
e334-il,4.0,25.4,11.9,30.3
e335-il,2.3,19.9,12.6,29.0
e336-il,2.8,23.4,12.8,28.1
e337-il,3.2,22.4,13.1,32.0
e338-il,3.7,26.2,13.3,31.1
e339-il,4.1,25.2,13.5,30.1
e340-il,2.6,19.7,13.7,28.8
e341-il,3.0,23.2,13.9,32.8
e342-il,3.5,22.2,14.3,31.8
e343-il,4.0,26.0,14.5,30.9
e344-il,4.3,25.0,14.7,29.9
e360-il,1.6,27.2,12.2,36.9
e361-il,1.7,27.4,12.1,37.1
e374-il,2.0,38.9,10.9,34.3
e376-il,9.0,32.7,2.5,4.3
e377-il,8.8,36.9,3.9,8.4
e377m-il,9.2,32.6,3.8,6.1
e378-il,8.1,35.9,4.1,7.8
e379-il,8.0,31.8,2.2,5.8
e385-il,5.3,47.5,8.4,29.6
e387-il,3.2,44.8,9.1,31.1
e392-il,3.7,45.3,10.1,31.6
e393-il,4.0,46.0,11.5,32.3
e395-il,5.2,52.3,12.3,29.5
e396-il,5.4,52.1,13.1,29.5
e397-il,5.3,52.1,13.5,29.4
e398-il,5.3,50.9,14.2,29.6
e399-il,5.1,51.4,14.8,29.0
e403-il,3.2,75.5,15.0,37.9
e407-il,3.5,71.7,14.4,36.6
e417-il,3.1,76.3,14.2,38.3
e420-il,10.6,40.5,14.3,22.8
e421-il,8.6,37.4,14.5,26.0
e422-il,7.1,34.8,14.0,24.1
e423-il,9.5,41.4,12.5,23.7
e426-il,0.6,50.6,10.8,25.5
e428-il,0.5,50.6,11.1,17.2
e431-il,4.2,42.6,15.1,37.4
e432-il,4.5,37.4,16.0,37.4
e433-il,3.9,42.6,14.2,42.6
e434-il,4.3,38.6,13.3,38.6
e435-il,4.4,56.2,16.2,40.9
e471-il,4.5,53.5,6.3,29.8
e472-il,0.0,0.0,12.1,17.5
e473-il,0.0,0.0,16.2,21.2
e474-il,0.0,0.0,14.1,21.5
e475-il,0.0,0.0,15.0,21.7
e479-il,0.0,0.0,16.6,25.7
e485-il,1.1,27.1,12.5,31.8
e49-il,6.5,62.2,7.2,38.4
e502-il,1.5,32.3,15.6,42.1
e520-il,0.0,0.0,15.0,36.7
e521-il,0.0,0.0,13.8,37.0
e540-il,1.6,35.7,16.9,45.5
e541-il,1.7,36.3,16.6,46.2
e542-il,1.9,31.5,16.9,41.3
e543-il,1.9,31.0,17.2,40.7
e544-il,1.9,30.5,17.5,40.0
e545-il,1.8,29.9,17.4,39.3
e546-il,1.8,26.2,16.2,40.3
e547-il,2.0,30.7,17.4,40.3
e548-il,2.2,26.1,17.4,35.4
e549-il,2.0,34.0,18.1,38.7
e550-il,2.2,29.4,18.2,34.0
e551-il,2.8,57.1,18.2,32.4
e552-il,2.6,51.8,18.4,32.4
e553-il,2.9,56.6,18.1,31.8
e554-il,2.7,56.6,18.2,31.8
e555-il,2.6,67.4,16.0,31.9
e556-il,3.1,61.4,16.0,31.1
e557-il,3.7,60.8,16.0,30.2
e558-il,3.8,49.3,16.0,26.4
e559-il,4.3,50.2,16.0,27.2
e560-il,4.9,51.1,16.1,24.0
e561-il,5.1,45.8,16.9,27.9
e562-il,4.0,50.8,15.0,27.6
e58-il,6.5,50.0,5.6,30.0
e580-il,4.1,61.2,16.1,33.0
e582-il,4.2,43.1,14.7,37.8
e583-il,4.5,38.0,16.5,38.0
e584-il,4.5,38.3,16.6,38.3
e585-il,4.2,42.8,14.6,37.6
e587-il,4.2,51.2,16.6,41.1
e59-il,5.2,50.0,5.6,25.0
e591-il,6.0,52.3,15.7,25.0
e593-il,4.6,29.2,11.3,24.2
e598-il,4.5,34.4,11.1,24.2
e603-il,3.6,35.6,19.0,40.0
e604-il,3.4,42.3,18.8,37.3
e61-il,6.4,51.0,5.7,23.8
e62-il,5.0,49.3,5.6,26.2
e625-il,2.9,22.5,13.0,30.0
e63-il,5.3,50.5,4.3,22.8
e635-il,2.9,22.2,11.6,26.2
e636-il,3.2,22.9,11.9,26.9
e637-il,3.6,23.6,12.1,27.6
e638-il,4.4,24.5,12.4,28.5
e639-il,4.8,29.2,12.6,29.2
e64-il,2.9,56.5,8.4,27.8
e642-il,3.0,39.4,15.1,39.4
e654-il,4.9,46.5,17.2,36.1
e655-il,3.9,42.4,17.3,37.3
e656-il,4.8,42.2,16.2,37.0
e657-il,4.6,47.6,15.6,37.0
e66-il,4.1,52.3,10.1,28.7
e662-il,4.1,47.5,15.0,42.8
e664-il,2.6,40.7,16.6,45.6
e668-il,4.0,47.8,13.9,37.3
e67-il,3.7,51.6,11.6,32.6
e678-il,5.1,53.7,15.1,39.8
e68-il,3.3,50.9,13.1,32.0
e682-il,2.9,40.4,15.3,40.4
e694-il,4.9,59.2,15.4,40.4
e71-il,4.4,54.0,5.2,25.7
e715-il,2.8,42.0,15.0,33.1
e748-il,4.6,54.9,19.7,27.4
e793-il,4.2,44.7,15.6,26.7
e817-il,2.9,66.7,11.0,32.9
e818-il,2.8,67.0,9.4,33.1
e836-il,0.0,0.0,12.6,42.8
e837-il,0.0,0.0,16.1,36.9
e838-il,0.0,46.5,18.4,37.2
e850-il,1.8,71.0,8.0,36.6
e851-il,2.3,66.3,9.0,37.0
e852-il,2.8,61.2,10.1,37.2
e853-il,3.1,56.1,11.6,37.1
e854-il,3.3,55.7,13.4,32.3
e855-il,3.7,50.6,15.7,32.2
e856-il,4.2,50.2,18.2,31.9
e857-il,4.9,45.1,20.3,31.5
e858-il,4.7,44.3,22.7,26.6
e862-il,0.0,0.0,32.4,28.5
e863-il,0.0,0.0,35.7,28.5
e864-il,0.1,10.8,38.8,32.7
e874-il,0.9,35.7,7.9,28.8
e904-il,1.3,50.4,9.0,44.9
e908-il,2.8,66.3,9.0,44.8
ea61009-il,0.0,0.0,9.0,30.0
ea61012-il,0.0,0.0,12.0,30.0
ea81006-il,0.0,0.0,6.0,30.0
ebambino7-il,1.9,20.0,6.0,40.0
ec863914-il,4.4,71.2,14.3,35.5
eh0009-il,0.0,0.0,9.0,28.7
eh1070-il,1.0,25.9,7.0,28.7
eh1090-il,1.0,25.9,9.0,28.7
eh1590-il,1.5,25.9,9.0,28.7
eh2010-il,2.0,25.9,10.1,28.7
eh2012-il,2.0,25.9,12.0,28.7
eh2070-il,2.0,25.9,7.0,28.7
eh2510-il,2.5,25.0,10.0,30.0
eh3012-il,2.9,25.0,12.0,30.0
eiffel10-il,6.1,40.0,2.7,0.0
eiffel371-il,3.3,30.0,14.4,30.0
eiffel385-il,4.4,50.0,13.4,20.0
eiffel428-il,4.2,40.0,9.0,30.0
eiffel430-il,4.5,40.0,9.7,15.0
