  
       XFOIL         Version 6.96
  
 Calculated polar for: BOEING VERTOL V43015-2.48 AIRFOIL               
   9.500   1.1616   0.02289   0.01431   0.0119   0.1796   1.0000
   9.750   1.1730   0.02333   0.01476   0.0143   0.1774   1.0000
  10.000   1.1849   0.02384   0.01526   0.0166   0.1755   1.0000
  10.250   1.1975   0.02440   0.01583   0.0186   0.1735   1.0000
  10.500   1.2103   0.02492   0.01647   0.0206   0.1714   1.0000
  10.750   1.2225   0.02548   0.01711   0.0225   0.1691   1.0000
  11.000   1.2343   0.02607   0.01777   0.0245   0.1668   1.0000
  11.250   1.2457   0.02670   0.01846   0.0263   0.1648   1.0000
  11.500   1.2567   0.02738   0.01916   0.0281   0.1629   1.0000
  11.750   1.2680   0.02812   0.01991   0.0297   0.1613   1.0000
  12.000   1.2793   0.02893   0.02078   0.0313   0.1596   1.0000
  12.250   1.2897   0.02979   0.02177   0.0328   0.1578   1.0000
  12.500   1.2993   0.03070   0.02278   0.0343   0.1558   1.0000
  12.750   1.3083   0.03167   0.02384   0.0357   0.1538   1.0000
  13.000   1.3166   0.03267   0.02492   0.0370   0.1519   1.0000
  13.250   1.3243   0.03375   0.02604   0.0382   0.1500   1.0000
  13.500   1.3326   0.03487   0.02716   0.0392   0.1483   1.0000
  13.750   1.3386   0.03623   0.02863   0.0402   0.1465   1.0000
  14.000   1.3435   0.03774   0.03029   0.0411   0.1446   1.0000
  14.250   1.3484   0.03931   0.03198   0.0418   0.1429   1.0000
  14.500   1.3529   0.04097   0.03374   0.0424   0.1412   1.0000
  14.750   1.3567   0.04272   0.03558   0.0429   0.1397   1.0000
  15.000   1.3603   0.04454   0.03746   0.0432   0.1382   1.0000
  15.250   1.3649   0.04631   0.03926   0.0434   0.1367   1.0000
  15.500   1.3668   0.04842   0.04146   0.0435   0.1352   1.0000
  15.750   1.3620   0.05137   0.04459   0.0432   0.1334   1.0000
  16.000   1.3566   0.05448   0.04786   0.0426   0.1314   1.0000
  16.250   1.3518   0.05765   0.05116   0.0418   0.1294   1.0000
  16.500   1.3473   0.06087   0.05446   0.0408   0.1274   1.0000
  16.750   1.3469   0.06362   0.05723   0.0401   0.1255   1.0000
  17.000   1.3409   0.06719   0.06088   0.0389   0.1238   1.0000
  17.250   1.3230   0.07261   0.06652   0.0367   0.1221   1.0000
  17.500   1.3022   0.07862   0.07272   0.0341   0.1201   1.0000
  17.750   1.2829   0.08455   0.07880   0.0315   0.1183   1.0000
  18.000   1.2686   0.08985   0.08419   0.0292   0.1164   1.0000
  18.250   1.2705   0.09261   0.08695   0.0281   0.1148   1.0000
  18.500   1.2456   0.09969   0.09417   0.0248   0.1128   1.0000
