  
       XFOIL         Version 6.96
  
 Calculated polar for: BOEING-VERTOL V23010-1.58 AIRFOIL               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
   3.750   0.5691   0.01264   0.00426  -0.0141   0.2523   1.0000
   4.000   0.5925   0.01282   0.00445  -0.0132   0.2479   1.0000
   4.250   0.6158   0.01302   0.00465  -0.0123   0.2433   1.0000
   4.500   0.6389   0.01327   0.00485  -0.0113   0.2388   1.0000
   4.750   0.6622   0.01352   0.00508  -0.0105   0.2343   1.0000
   5.000   0.6861   0.01371   0.00531  -0.0096   0.2291   1.0000
   5.250   0.7096   0.01395   0.00554  -0.0088   0.2240   1.0000
   5.500   0.7327   0.01425   0.00579  -0.0079   0.2196   1.0000
   5.750   0.7569   0.01445   0.00607  -0.0072   0.2146   1.0000
   6.000   0.7807   0.01468   0.00634  -0.0064   0.2093   1.0000
   6.250   0.8040   0.01499   0.00661  -0.0055   0.2045   1.0000
   6.500   0.8281   0.01523   0.00693  -0.0048   0.1991   1.0000
   6.750   0.8519   0.01548   0.00724  -0.0041   0.1931   1.0000
   7.000   0.8752   0.01579   0.00753  -0.0033   0.1876   1.0000
   7.250   0.8993   0.01605   0.00789  -0.0026   0.1809   1.0000
   7.500   0.9225   0.01635   0.00820  -0.0018   0.1749   1.0000
   7.750   0.9463   0.01663   0.00855  -0.0011   0.1672   1.0000
   8.000   0.9693   0.01692   0.00883  -0.0004   0.1590   1.0000
   8.250   0.9925   0.01723   0.00916   0.0003   0.1496   1.0000
   8.500   1.0151   0.01760   0.00956   0.0011   0.1416   1.0000
   8.750   1.0371   0.01803   0.00999   0.0019   0.1348   1.0000
   9.000   1.0593   0.01847   0.01049   0.0027   0.1295   1.0000
   9.250   1.0810   0.01895   0.01102   0.0035   0.1236   1.0000
   9.500   1.1018   0.01948   0.01158   0.0044   0.1180   1.0000
   9.750   1.1231   0.01998   0.01217   0.0053   0.1118   1.0000
  10.000   1.1427   0.02059   0.01281   0.0063   0.1057   1.0000
  10.250   1.1636   0.02111   0.01345   0.0071   0.0986   1.0000
  10.500   1.1830   0.02172   0.01413   0.0081   0.0904   1.0000
  10.750   1.2018   0.02238   0.01483   0.0092   0.0793   1.0000
  11.000   1.2181   0.02321   0.01566   0.0104   0.0667   1.0000
  11.250   1.2317   0.02425   0.01667   0.0119   0.0573   1.0000
  11.500   1.2433   0.02536   0.01781   0.0136   0.0512   1.0000
  11.750   1.2525   0.02657   0.01905   0.0156   0.0470   1.0000
  12.000   1.2599   0.02772   0.02030   0.0178   0.0442   1.0000
  12.250   1.2641   0.02892   0.02160   0.0203   0.0419   1.0000
  12.500   1.2649   0.03038   0.02314   0.0227   0.0401   1.0000
  12.750   1.2630   0.03214   0.02498   0.0248   0.0387   1.0000
  13.000   1.2638   0.03390   0.02689   0.0262   0.0375   1.0000
  13.250   1.2622   0.03605   0.02919   0.0271   0.0363   1.0000
  13.500   1.2581   0.03871   0.03198   0.0273   0.0354   1.0000
  13.750   1.2518   0.04191   0.03532   0.0268   0.0346   1.0000
  14.000   1.2426   0.04581   0.03935   0.0255   0.0339   1.0000
  14.250   1.2304   0.05052   0.04420   0.0234   0.0335   1.0000
  14.500   1.2168   0.05582   0.04962   0.0207   0.0331   1.0000
  14.750   1.2011   0.06167   0.05560   0.0176   0.0328   1.0000
  15.000   1.1867   0.06755   0.06161   0.0145   0.0323   1.0000
  15.250   1.1729   0.07336   0.06757   0.0115   0.0320   1.0000
  15.500   1.1588   0.07924   0.07357   0.0086   0.0316   1.0000
  15.750   1.1455   0.08503   0.07948   0.0057   0.0312   1.0000
